code,name,sector,netProfit亿元,netProfitGrowth%,netProfitGrowthText,netProfitPositive,verificationStatus,sourceLevel,sourceName,sourceUrl,announcementDate
002126.SZ,银轮股份,液冷/数据中心温控,9.5724,22.17,,True,pending,核心指标已补，正式链接待补,2025年年度报告公开数据（已补核心指标，待补正式公告链接）,,
300990.SZ,同飞股份,液冷/数据中心温控,2.53,64.84,,True,pending,核心指标已补，正式链接待补,2025年年度报告公开数据（已补核心指标，待补正式公告链接）,,
000811.SZ,冰轮环境,液冷/数据中心温控,5.64385034,-10.14,,True,pending,核心指标已补，正式链接待补,2025年年度报告公开数据（已补核心指标，待补正式公告链接）,,
002273.SZ,水晶光电,玻璃基板/光学材料,11.72,13.84,,True,pending,核心指标已补，正式链接待补,2025年年度报告公开数据（已补核心指标，待补正式公告链接）,,
600552.SH,凯盛科技,玻璃基板/玻璃载板,1.2866849137,-8.2,,True,pending,核心指标已补，正式链接待补,2025年年度报告公开数据（已补核心指标，待补正式公告链接）,,
600353.SH,旭光电子,陶瓷基板/电子陶瓷,1.615702,57.67,,True,pending,核心指标已补，正式链接待补,2025年年度报告公开数据（已补核心指标，待补正式公告链接）,,
301358.SZ,湖南裕能,磷酸铁锂产业链,12.771834,115.18,,True,verified,正式披露链接已写入,2025年年度报告（巨潮资讯）,https://static.cninfo.com.cn/finalpage/2026-04-23/1225155057.PDF,2026-04-23
603906.SH,龙蟠科技,磷酸铁锂产业链,-1.7253009734,,亏损收窄73.25%,False,verified,正式披露链接已写入,2025年年度报告摘要（巨潮资讯）,https://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260424/ff912eb0710947fd9ab2cfbdc1f2bca3.PDF,2026-04-25
300432.SZ,富临精工,磷酸铁锂产业链,4.275597478,7.76,,True,verified,正式披露链接已写入,公司正式公告引用2025年年报数据（巨潮资讯）,https://static.cninfo.com.cn/finalpage/2026-06-13/1225368703.PDF,2026-06-13
301071.SZ,力量钻石,培育钻石/超硬材料,1.0930151551,-45.57,,True,verified,正式披露链接已写入,2025年年度总经理工作报告（巨潮资讯）,https://static.cninfo.com.cn/finalpage/2026-04-24/1225165553.PDF,2026-04-24
